investor_id,agent_id,investor_type,first_name,last_name,country_code,kyc_status,risk_rating,created_at,updated_at
1,3,Individual,Investor001,Demo,IN,Approved,High,2026-01-01T00:00:00,
2,2,Individual,Investor002,Demo,IN,Approved,Low,2026-01-01T00:00:00,
3,3,Individual,Investor003,Demo,GB,Approved,High,2026-01-01T00:00:00,
4,3,Individual,Investor004,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
5,1,Individual,Investor005,Demo,IN,Approved,Low,2026-01-01T00:00:00,
6,1,Trust,Investor006,Demo,GB,Approved,Low,2026-01-01T00:00:00,
7,3,Individual,Investor007,Demo,GB,Approved,High,2026-01-01T00:00:00,
8,3,Trust,Investor008,Demo,AU,Approved,Low,2026-01-01T00:00:00,
9,2,Trust,Investor009,Demo,AU,Approved,Low,2026-01-01T00:00:00,
10,1,Trust,Investor010,Demo,AU,Approved,Medium,2026-01-01T00:00:00,
11,2,Individual,Investor011,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
12,1,Individual,Investor012,Demo,AU,Approved,Low,2026-01-01T00:00:00,
13,2,Corporate,Investor013,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
14,1,Trust,Investor014,Demo,AU,Approved,High,2026-01-01T00:00:00,
15,1,Corporate,Investor015,Demo,IN,Approved,High,2026-01-01T00:00:00,
16,2,Trust,Investor016,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
17,3,Individual,Investor017,Demo,GB,Approved,Low,2026-01-01T00:00:00,
18,1,Trust,Investor018,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
19,1,Individual,Investor019,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
20,2,Corporate,Investor020,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
21,1,Corporate,Investor021,Demo,AU,Approved,Low,2026-01-01T00:00:00,
22,3,Corporate,Investor022,Demo,GB,Approved,High,2026-01-01T00:00:00,
23,3,Individual,Investor023,Demo,GB,Approved,High,2026-01-01T00:00:00,
24,1,Trust,Investor024,Demo,GB,Approved,Low,2026-01-01T00:00:00,
25,1,Corporate,Investor025,Demo,AU,Approved,Medium,2026-01-01T00:00:00,
26,3,Trust,Investor026,Demo,GB,Approved,Low,2026-01-01T00:00:00,
27,3,Corporate,Investor027,Demo,IN,Approved,Low,2026-01-01T00:00:00,
28,1,Corporate,Investor028,Demo,AU,Approved,Medium,2026-01-01T00:00:00,
29,1,Individual,Investor029,Demo,GB,Approved,High,2026-01-01T00:00:00,
30,2,Individual,Investor030,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
31,2,Trust,Investor031,Demo,AU,Approved,Low,2026-01-01T00:00:00,
32,2,Individual,Investor032,Demo,IN,Approved,High,2026-01-01T00:00:00,
33,3,Trust,Investor033,Demo,AU,Approved,High,2026-01-01T00:00:00,
34,3,Corporate,Investor034,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
35,2,Individual,Investor035,Demo,IN,Approved,High,2026-01-01T00:00:00,
36,2,Individual,Investor036,Demo,IN,Approved,Low,2026-01-01T00:00:00,
37,1,Trust,Investor037,Demo,IN,Approved,High,2026-01-01T00:00:00,
38,2,Trust,Investor038,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
39,2,Trust,Investor039,Demo,AU,Approved,High,2026-01-01T00:00:00,
40,2,Trust,Investor040,Demo,IN,Approved,High,2026-01-01T00:00:00,
41,3,Individual,Investor041,Demo,GB,Approved,High,2026-01-01T00:00:00,
42,2,Trust,Investor042,Demo,AU,Approved,Low,2026-01-01T00:00:00,
43,2,Corporate,Investor043,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
44,1,Trust,Investor044,Demo,GB,Approved,Medium,2026-01-01T00:00:00,
45,3,Individual,Investor045,Demo,GB,Approved,Low,2026-01-01T00:00:00,
46,3,Corporate,Investor046,Demo,GB,Approved,High,2026-01-01T00:00:00,
47,3,Individual,Investor047,Demo,IN,Approved,Medium,2026-01-01T00:00:00,
48,1,Trust,Investor048,Demo,GB,Approved,Low,2026-01-01T00:00:00,
49,3,Corporate,Investor049,Demo,AU,Approved,Low,2026-01-01T00:00:00,
50,1,Corporate,Investor050,Demo,AU,Approved,Low,2026-01-01T00:00:00,
